Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_Pct,Automation_Risk_Pct,Location,Gender_Diversity_Pct
Sub,Manufacturing,Increasing,Low,87976.9,Bachelor’s Degree,4,5322,5865,33.31,84.7,Brazil,29.27
Building control surveyor,IT,Decreasing,High,135404.18,Master’s Degree,3,3218,5189,31.77,18.18,USA,53.79
Adult guidance worker,Education,Increasing,High,108355.73,Master’s Degree,15,4710,4117,64.83,86.51,China,70.82
Structural engineer,Transportation,Increasing,Low,98485.45,High School,2,8292,5341,16.56,47.19,China,68.03
"Nurse, children's",Finance,Increasing,Moderate,69581.5,Bachelor’s Degree,10,4917,2936,54.55,16.79,UK,39.14
Music therapist,Education,Increasing,Moderate,35752.27,Bachelor’s Degree,14,8733,3170,57.61,3.87,Brazil,51.86
Research scientist (physical sciences),Finance,Decreasing,High,133930.69,Bachelor’s Degree,16,3548,9106,6.5,36.99,China,61.52
"Research officer, trade union",Retail,Increasing,High,98871.15,PhD,17,2386,927,46.35,91.03,UK,44.51
"Conservator, museum/gallery",Transportation,Increasing,Low,134261.62,High School,11,5972,1099,62.85,86.58,USA,42.51
Planning and development surveyor,Retail,Increasing,Moderate,134177.14,Bachelor’s Degree,1,9849,4644,9.54,25.52,USA,59.33
Advertising account executive,Transportation,Decreasing,High,52822.46,Bachelor’s Degree,14,3349,5034,47.45,16.46,Canada,21.49
Radio broadcast assistant,IT,Decreasing,Moderate,147275.32,PhD,8,8548,5628,4.83,16.7,UK,54.6
Trade union research officer,Finance,Decreasing,Low,87158.82,PhD,14,3294,391,52.79,2.3,China,50.6
Early years teacher,Healthcare,Decreasing,Low,99721.0,Master’s Degree,15,7467,6711,42.42,41.15,China,58.2
"Conservator, furniture",IT,Decreasing,High,97607.06,PhD,2,207,7509,86.18,2.6,India,69.67
"Therapist, horticultural",Transportation,Increasing,High,132692.83,Bachelor’s Degree,17,7653,1305,78.44,36.11,China,57.83
Historic buildings inspector/conservation officer,Entertainment,Decreasing,Low,47471.11,Bachelor’s Degree,10,1553,1811,37.03,60.28,UK,29.65
Clothing/textile technologist,IT,Increasing,High,119282.01,Associate Degree,2,1512,6111,63.83,68.29,Australia,75.15
Quantity surveyor,Education,Increasing,High,102404.29,Associate Degree,20,5268,1282,61.96,58.77,Canada,66.37
Pension scheme manager,Retail,Increasing,High,74716.81,High School,10,6695,2947,85.98,84.35,UK,63.0
Speech and language therapist,IT,Decreasing,High,66797.39,PhD,10,4065,7644,75.6,12.2,India,66.44
Broadcast journalist,Healthcare,Decreasing,Moderate,111281.35,Associate Degree,19,6216,315,56.99,84.02,Germany,28.68
Secretary/administrator,Manufacturing,Increasing,Low,67401.09,Master’s Degree,20,4687,7083,84.19,74.89,USA,43.2
Further education lecturer,Education,Decreasing,Moderate,132891.36,Master’s Degree,17,3187,2650,83.21,13.37,Australia,44.11
Politician's assistant,Finance,Increasing,High,100148.33,Associate Degree,9,6323,5286,14.97,70.39,USA,52.42
Barrister's clerk,Retail,Decreasing,Moderate,52468.86,Master’s Degree,7,4806,5880,36.23,5.37,Canada,57.92
Professor Emeritus,Education,Decreasing,Low,97488.67,High School,15,6982,2981,64.6,50.43,Canada,78.54
"Geologist, wellsite",Manufacturing,Increasing,Low,78601.84,Associate Degree,17,7658,5811,59.33,61.06,India,60.11
Petroleum engineer,Transportation,Increasing,Moderate,146305.57,Bachelor’s Degree,3,7357,2774,77.0,9.79,India,65.15
Insurance underwriter,Retail,Decreasing,High,113291.81,Master’s Degree,0,9675,4828,75.73,98.81,UK,61.81
Product designer,IT,Increasing,Moderate,118381.39,PhD,18,853,7056,24.04,4.95,Australia,72.78
Maintenance engineer,Education,Decreasing,Low,99340.89,Master’s Degree,7,533,2944,72.92,73.31,China,61.12
Consulting civil engineer,Retail,Increasing,Moderate,33744.43,PhD,0,9882,4194,48.52,27.23,Brazil,75.32
Actuary,Manufacturing,Decreasing,High,45523.95,High School,11,4889,7523,52.44,40.41,Australia,60.88
IT trainer,IT,Increasing,High,53530.42,Associate Degree,4,7012,9752,99.06,11.64,India,33.45
Health service manager,IT,Decreasing,High,142067.75,PhD,12,5522,6544,0.67,47.54,Germany,37.26
Senior tax professional/tax inspector,Retail,Increasing,Moderate,104659.78,Bachelor’s Degree,15,6308,5096,42.9,38.72,Brazil,29.02
Marine scientist,Manufacturing,Decreasing,Moderate,132506.45,Associate Degree,2,5611,4470,76.39,12.74,China,72.79
Civil Service administrator,Education,Increasing,Moderate,86877.5,Bachelor’s Degree,11,9039,5878,65.62,1.97,Germany,29.43
"Loss adjuster, chartered",Healthcare,Decreasing,Low,77035.35,PhD,17,1615,4807,0.89,30.66,India,71.22
Quantity surveyor,Healthcare,Decreasing,High,48910.95,Master’s Degree,20,1877,9518,66.82,38.95,India,52.27
Management consultant,Entertainment,Decreasing,High,121573.35,Associate Degree,18,5689,6204,21.84,61.5,Australia,44.88
Colour technologist,Retail,Decreasing,Moderate,71395.44,PhD,9,9815,4346,99.57,58.88,USA,23.11
Technical sales engineer,IT,Increasing,High,137793.5,Associate Degree,0,863,6283,67.03,40.12,Brazil,27.87
Investment analyst,Finance,Decreasing,Moderate,57968.11,Bachelor’s Degree,2,1372,5483,81.25,49.62,Germany,27.34
Higher education lecturer,Education,Increasing,Low,88779.52,High School,16,6989,1619,26.93,66.08,India,63.2
Sports therapist,Retail,Increasing,Low,81000.47,Associate Degree,5,7627,4547,13.18,71.71,UK,48.95
Travel agency manager,Finance,Decreasing,High,136581.19,PhD,15,9095,8762,79.32,77.25,China,60.56
Television production assistant,Transportation,Increasing,High,125958.59,Bachelor’s Degree,7,2160,2346,23.17,4.47,China,28.83
Emergency planning/management officer,Entertainment,Increasing,Low,87548.49,Master’s Degree,15,623,4246,54.49,85.58,Australia,78.97
"Scientist, biomedical",Manufacturing,Decreasing,High,71294.67,High School,17,8007,1854,65.73,71.5,Brazil,53.61
Firefighter,Retail,Increasing,High,106155.27,High School,0,4257,192,71.41,36.76,Canada,41.26
Financial planner,Entertainment,Increasing,Moderate,92827.03,Associate Degree,8,6355,1110,71.49,57.86,Germany,66.55
Armed forces logistics/support/administrative officer,Manufacturing,Decreasing,Moderate,71505.62,Bachelor’s Degree,12,1877,6208,81.04,88.05,India,71.73
Public affairs consultant,Retail,Decreasing,High,148326.08,Associate Degree,16,984,7888,99.07,29.38,India,70.52
Event organiser,Finance,Decreasing,Low,90880.6,PhD,0,9151,6922,36.1,77.09,Australia,36.09
Estate agent,Finance,Decreasing,High,42162.02,Associate Degree,16,949,7472,17.21,31.73,Canada,26.53
Ceramics designer,IT,Decreasing,Low,107584.19,Associate Degree,5,255,8630,68.9,0.81,Brazil,39.27
Charity officer,Manufacturing,Decreasing,Low,149962.12,PhD,6,1263,9381,85.45,23.24,USA,70.75
Occupational hygienist,Entertainment,Decreasing,Moderate,132173.62,Associate Degree,5,1156,2907,48.13,21.92,UK,47.2
Radio producer,IT,Decreasing,High,122417.62,Master’s Degree,16,2002,9845,30.3,0.63,Germany,59.21
"Journalist, newspaper",Entertainment,Decreasing,High,116355.97,PhD,17,7762,4314,99.76,10.79,UK,48.08
"Psychotherapist, dance movement",Healthcare,Decreasing,Moderate,42000.94,PhD,5,806,8420,82.81,8.14,Brazil,52.18
Research scientist (physical sciences),Finance,Increasing,Low,56889.27,Bachelor’s Degree,20,8037,4029,60.48,42.61,Germany,23.08
Restaurant manager,IT,Increasing,Low,48997.99,Master’s Degree,14,8005,3958,26.24,11.0,Canada,70.66
Database administrator,Retail,Decreasing,Moderate,32058.23,Master’s Degree,5,5795,1874,55.9,20.92,China,21.7
Police officer,Transportation,Increasing,High,52713.28,High School,2,3521,9225,93.85,44.22,Canada,40.16
Health and safety inspector,Education,Decreasing,High,123838.07,High School,13,606,5660,18.44,23.18,USA,37.29
"Buyer, industrial",IT,Decreasing,Moderate,144477.28,Master’s Degree,14,8216,8974,26.42,28.76,USA,67.98
Paramedic,Finance,Increasing,High,125117.59,PhD,20,5387,3056,59.18,17.96,Australia,42.65
Building services engineer,Finance,Decreasing,Low,103903.82,Associate Degree,2,8624,7357,55.59,29.11,Canada,53.54
Clinical psychologist,Entertainment,Decreasing,High,92283.11,PhD,15,4177,8776,77.9,25.52,Germany,55.86
Photographer,Education,Increasing,High,33214.6,Master’s Degree,17,4613,8778,2.44,51.69,UK,39.19
"Designer, furniture",Retail,Decreasing,Moderate,88757.85,High School,16,9501,8421,4.84,98.64,Brazil,30.63
Chartered certified accountant,Retail,Decreasing,Low,34534.63,PhD,9,2530,7551,41.86,22.73,USA,76.21
Pensions consultant,Finance,Increasing,High,135894.6,PhD,17,176,3297,23.32,28.89,Canada,23.66
Games developer,Transportation,Decreasing,Moderate,102251.69,Bachelor’s Degree,7,8230,2431,58.38,87.36,India,78.66
Fish farm manager,Entertainment,Decreasing,Low,75954.35,Associate Degree,11,4237,7629,15.24,49.67,Australia,47.67
"Administrator, local government",IT,Increasing,Low,89066.43,Master’s Degree,20,1613,7432,81.65,80.78,UK,26.06
Architect,Finance,Increasing,Moderate,118976.77,Bachelor’s Degree,7,8717,3415,14.6,76.17,UK,25.42
"Librarian, public",IT,Increasing,Moderate,31057.6,Bachelor’s Degree,6,9037,4909,0.06,30.26,Germany,70.08
Chief Technology Officer,Healthcare,Increasing,Low,54343.56,Bachelor’s Degree,6,1173,595,55.45,21.53,UK,31.14
"Clinical scientist, histocompatibility and immunogenetics",Transportation,Increasing,High,109643.27,Associate Degree,11,6432,7069,1.39,34.61,India,35.44
"Surveyor, building control",Education,Increasing,Moderate,108595.34,High School,6,5805,554,24.12,19.52,UK,56.56
Midwife,IT,Decreasing,Moderate,66935.78,PhD,15,6567,6943,38.06,51.08,Australia,68.03
Farm manager,Manufacturing,Decreasing,Low,31426.7,Associate Degree,3,4652,1951,0.89,16.32,China,66.27
Special educational needs teacher,Entertainment,Decreasing,Low,84516.36,Associate Degree,1,3515,1574,46.78,48.42,Brazil,54.37
Dietitian,Healthcare,Decreasing,Low,90297.42,PhD,16,2038,305,49.9,28.58,Brazil,33.47
Retail manager,Education,Decreasing,High,53287.77,High School,4,233,2764,99.71,37.02,USA,67.94
TEFL teacher,Entertainment,Increasing,Low,107001.81,PhD,3,2179,7082,16.25,9.12,China,52.62
Control and instrumentation engineer,Entertainment,Decreasing,Low,116614.03,Associate Degree,14,1212,9150,0.37,21.71,India,66.0
Furniture conservator/restorer,Retail,Increasing,High,118172.26,PhD,15,5792,3188,87.68,87.1,UK,70.89
Advertising copywriter,Manufacturing,Increasing,High,127560.45,Associate Degree,5,5643,5655,58.59,3.9,India,50.22
Graphic designer,Transportation,Decreasing,Low,44598.3,PhD,19,6101,1271,99.72,40.51,UK,51.5
"Programmer, applications",Transportation,Increasing,Moderate,62128.06,Master’s Degree,2,285,2255,3.55,76.4,Australia,52.21
Careers information officer,Finance,Increasing,Moderate,50842.14,PhD,14,5870,2944,81.77,39.66,UK,47.16
"Engineer, energy",IT,Decreasing,High,117967.91,PhD,15,3348,2884,14.79,97.05,Canada,47.54
Electronics engineer,IT,Increasing,Low,34090.23,Associate Degree,9,7543,8034,43.1,82.35,Brazil,51.61
Psychiatrist,Finance,Increasing,Moderate,74674.83,PhD,8,7042,1398,7.63,82.43,Germany,28.98
Tour manager,Retail,Decreasing,Moderate,91203.21,High School,17,2788,2855,20.85,46.0,China,36.73
Financial adviser,Manufacturing,Increasing,Low,143868.04,Master’s Degree,18,7189,8410,62.71,66.47,China,62.33
Passenger transport manager,Finance,Increasing,High,44985.88,PhD,14,711,3205,73.07,31.45,UK,32.13
Sports administrator,Education,Decreasing,Low,98328.75,Master’s Degree,16,8879,1127,56.46,31.87,UK,67.84
Primary school teacher,Finance,Increasing,Moderate,135093.4,Associate Degree,18,6681,1287,58.23,61.53,Canada,64.69
Petroleum engineer,Entertainment,Increasing,High,68859.94,Bachelor’s Degree,14,5719,3918,71.34,7.9,Canada,50.21
Proofreader,Education,Decreasing,Moderate,115654.32,High School,11,5702,3743,88.35,94.3,Brazil,71.2
"Engineer, manufacturing",IT,Decreasing,Low,90233.58,High School,6,3535,6229,29.59,85.14,USA,21.55
Learning disability nurse,Finance,Decreasing,High,34125.1,Master’s Degree,14,1036,7179,18.51,34.36,Canada,57.41
Pathologist,IT,Increasing,High,79901.18,Associate Degree,15,1236,6444,63.83,47.95,USA,39.38
Newspaper journalist,Entertainment,Increasing,Moderate,134629.74,Master’s Degree,2,3725,4689,36.86,36.27,India,27.53
Occupational psychologist,Transportation,Increasing,High,60217.95,High School,18,9717,9707,2.94,58.13,India,28.74
"Merchandiser, retail",Finance,Decreasing,Low,85966.57,Master’s Degree,20,4979,2412,31.94,56.91,India,26.66
Medical technical officer,Education,Increasing,Moderate,120023.33,Master’s Degree,0,7818,3692,82.78,81.86,Brazil,65.46
"Engineer, petroleum",Finance,Increasing,Moderate,73921.06,Bachelor’s Degree,11,721,3327,48.17,14.96,Germany,70.05
Radio broadcast assistant,Education,Increasing,Low,146865.43,Master’s Degree,16,7941,3675,70.02,40.94,Canada,67.68
"Therapist, occupational",Healthcare,Decreasing,Moderate,43055.34,Associate Degree,0,9088,8693,19.25,72.55,India,41.04
Agricultural consultant,Finance,Increasing,High,112726.63,Bachelor’s Degree,14,6614,8611,86.34,11.72,Canada,61.26
"Scientist, audiological",Education,Decreasing,High,54236.22,Associate Degree,8,3406,6703,12.13,23.99,Brazil,68.24
Mental health nurse,Manufacturing,Decreasing,Moderate,99045.68,Associate Degree,15,6885,8953,66.75,68.77,Australia,36.83
Biomedical scientist,Finance,Decreasing,Moderate,146196.23,Master’s Degree,9,562,3727,93.93,73.25,China,57.52
Artist,Entertainment,Decreasing,High,76188.95,PhD,10,9553,3122,0.25,34.66,USA,54.24
Research scientist (medical),Retail,Decreasing,Low,75938.82,PhD,2,3043,5426,9.32,70.14,China,22.23
Curator,Education,Decreasing,Moderate,86399.14,High School,13,9434,1669,14.55,5.69,USA,69.74
"Engineer, control and instrumentation",Finance,Increasing,High,122845.99,PhD,9,185,2665,34.68,28.16,India,36.88
Ceramics designer,Retail,Decreasing,Moderate,70037.52,Associate Degree,12,5576,2053,94.42,8.64,USA,65.72
Insurance risk surveyor,Retail,Decreasing,Moderate,64609.23,Master’s Degree,15,2891,3208,0.67,30.27,Brazil,45.69
Sports administrator,Healthcare,Decreasing,Low,91386.39,Bachelor’s Degree,3,674,7090,58.12,52.04,China,37.3
Oncologist,Education,Decreasing,Moderate,148063.03,Associate Degree,20,7667,8968,65.99,7.45,USA,62.72
Public affairs consultant,Transportation,Increasing,Moderate,112388.19,Bachelor’s Degree,11,5496,687,89.79,70.28,Canada,79.67
Patent attorney,Entertainment,Increasing,Low,50398.21,Master’s Degree,4,6290,5785,45.31,26.19,India,24.53
Learning mentor,Healthcare,Decreasing,High,32243.75,Associate Degree,8,9638,500,90.65,69.53,Germany,46.33
Archivist,Manufacturing,Increasing,Low,97801.07,Master’s Degree,9,4642,7205,11.99,62.39,India,64.63
Chiropractor,Entertainment,Decreasing,High,71286.88,PhD,3,1578,6596,81.1,63.66,Brazil,54.64
"Education officer, environmental",Retail,Decreasing,High,88833.86,Associate Degree,11,4558,5158,62.61,91.47,India,72.64
Education administrator,Manufacturing,Increasing,Low,40478.29,PhD,18,7043,8517,92.12,10.83,China,55.31
Sports development officer,Education,Decreasing,Moderate,105519.66,Master’s Degree,17,3580,5817,3.78,22.29,Canada,22.65
Analytical chemist,Entertainment,Increasing,Low,60287.85,Master’s Degree,10,257,9628,42.4,16.76,UK,33.54
Air cabin crew,Entertainment,Increasing,High,46912.02,High School,16,4342,502,27.3,80.26,China,69.96
"Lecturer, further education",Retail,Decreasing,High,62698.53,Bachelor’s Degree,4,8189,1658,11.48,25.95,China,55.05
"Psychologist, occupational",Education,Decreasing,Moderate,34606.0,Associate Degree,9,6146,9506,57.45,93.35,Australia,23.91
"Teacher, music",Finance,Increasing,High,130952.7,Master’s Degree,13,2541,8757,9.17,61.01,India,21.39
Sports development officer,IT,Increasing,Low,91722.32,High School,17,7240,3870,13.65,65.09,USA,59.94
Database administrator,Education,Increasing,Low,39128.98,PhD,15,4182,5831,68.28,72.95,UK,50.1
Clinical psychologist,Finance,Increasing,Moderate,138665.26,Associate Degree,6,6689,2395,0.94,80.78,USA,63.57
Public affairs consultant,Healthcare,Decreasing,High,64506.91,Bachelor’s Degree,9,8337,4226,4.3,14.78,Brazil,21.82
"Nurse, children's",Transportation,Decreasing,High,106899.65,High School,17,6678,8121,65.95,92.77,China,36.52
Recycling officer,Transportation,Increasing,High,114222.59,Bachelor’s Degree,20,3785,1244,75.94,10.03,India,28.33
"Accountant, chartered certified",Manufacturing,Increasing,Low,107612.42,Master’s Degree,9,6592,5150,98.43,92.55,USA,68.31
"Sales professional, IT",Entertainment,Increasing,Low,61621.04,High School,13,8086,1686,39.2,28.06,UK,51.64
Product designer,Manufacturing,Decreasing,High,120232.06,Associate Degree,10,8264,5623,73.74,96.76,Germany,23.84
"Accountant, chartered management",Finance,Increasing,Moderate,49820.92,PhD,14,3187,9854,33.35,89.85,UK,54.83
Theatre director,Education,Decreasing,Moderate,52877.78,Master’s Degree,4,5845,3455,13.33,53.22,USA,59.41
Health and safety adviser,Manufacturing,Decreasing,Low,71031.04,Bachelor’s Degree,17,4961,9060,45.48,4.21,Germany,64.67
Educational psychologist,Healthcare,Increasing,High,124961.62,PhD,2,3057,9244,60.43,95.18,China,38.16
Race relations officer,Transportation,Decreasing,High,60815.59,High School,7,6491,2211,23.31,11.95,Canada,64.2
Sub,Retail,Increasing,Low,44989.38,Bachelor’s Degree,6,7476,2541,22.57,78.7,Australia,70.91
"Scientist, physiological",Entertainment,Increasing,High,83055.22,Associate Degree,12,6498,8262,92.15,10.25,USA,61.8
"Horticulturist, commercial",Manufacturing,Decreasing,Low,115896.35,Bachelor’s Degree,15,6493,4957,37.2,59.79,Germany,33.59
"Production assistant, radio",Entertainment,Increasing,High,55445.41,Master’s Degree,12,2419,9947,88.83,96.55,Australia,60.65
Surgeon,Healthcare,Decreasing,Moderate,113839.64,Master’s Degree,15,4343,7942,90.99,90.0,Canada,73.45
"Radiographer, therapeutic",Retail,Decreasing,High,117075.26,Master’s Degree,18,9358,2401,37.33,78.49,Australia,34.07
"Designer, graphic",Transportation,Increasing,Moderate,111901.43,High School,7,8761,430,8.64,78.94,Canada,45.92
Clinical embryologist,Retail,Decreasing,Low,131241.9,PhD,12,5135,6050,33.64,27.51,India,70.97
Chief Strategy Officer,Transportation,Decreasing,High,55492.82,Master’s Degree,2,167,1722,15.96,39.67,UK,71.5
Clinical research associate,Manufacturing,Decreasing,High,67965.92,Master’s Degree,7,1639,1959,65.61,19.94,UK,36.52
Actuary,Finance,Decreasing,Low,122583.18,Bachelor’s Degree,19,674,9664,37.83,20.62,Germany,59.37
Cabin crew,Manufacturing,Decreasing,Moderate,139709.08,Associate Degree,12,757,3883,42.32,19.72,UK,23.69
Chiropractor,Healthcare,Increasing,Moderate,40342.36,Bachelor’s Degree,18,3952,1952,47.68,4.46,India,58.92
Amenity horticulturist,Education,Increasing,High,144279.99,High School,6,581,6806,16.19,11.67,Germany,71.64
Land,Healthcare,Decreasing,Moderate,109784.96,Associate Degree,19,7682,6229,49.18,76.55,USA,50.09
Town planner,IT,Decreasing,High,39694.76,PhD,5,2015,5151,2.72,89.71,China,20.52
Chief Technology Officer,Finance,Decreasing,Moderate,148819.95,PhD,11,8080,1701,83.68,19.97,Germany,34.18
"Pilot, airline",Manufacturing,Increasing,Low,119661.38,PhD,10,5614,869,27.86,14.54,China,46.74
Health visitor,Finance,Decreasing,High,109504.15,High School,19,1700,2668,46.2,27.38,Canada,46.59
Regulatory affairs officer,Manufacturing,Increasing,High,142111.99,Bachelor’s Degree,16,3912,5918,19.67,48.38,UK,55.78
Best boy,Retail,Decreasing,Low,54318.92,High School,3,1380,6070,0.17,34.65,Germany,60.01
"Exhibitions officer, museum/gallery",Transportation,Decreasing,Low,39929.59,High School,18,5968,1066,16.39,55.73,UK,43.19
Animator,IT,Increasing,High,55707.71,Associate Degree,12,8376,2800,48.42,88.71,USA,27.89
"Conservator, museum/gallery",Finance,Increasing,Moderate,46873.31,High School,8,7302,5054,84.5,83.23,Germany,48.91
"Engineer, maintenance",Education,Decreasing,High,54237.45,Associate Degree,10,4888,6190,73.14,57.17,Australia,76.77
Musician,Retail,Decreasing,High,38941.48,High School,0,1663,2593,50.78,88.53,UK,45.84
Fisheries officer,Transportation,Decreasing,Moderate,90970.52,High School,7,5380,9200,99.51,68.8,Brazil,74.9
Aeronautical engineer,Entertainment,Increasing,Low,85740.85,PhD,6,7317,5537,57.91,83.2,Brazil,24.27
Translator,Education,Increasing,High,34395.44,Bachelor’s Degree,18,6143,1061,50.28,46.05,UK,46.94
"Engineer, water",Healthcare,Decreasing,Moderate,90878.69,Bachelor’s Degree,4,6776,6692,89.62,58.65,China,21.91
"Engineer, aeronautical",Healthcare,Increasing,Moderate,89451.18,Bachelor’s Degree,4,7812,5906,31.42,52.63,Australia,74.93
"Education officer, museum",Retail,Increasing,Moderate,109603.48,Bachelor’s Degree,20,5541,7568,50.39,74.4,Canada,78.08
Graphic designer,IT,Decreasing,High,105874.34,Associate Degree,15,333,4956,57.91,7.81,India,27.72
Plant breeder/geneticist,Manufacturing,Decreasing,Moderate,100121.67,Associate Degree,4,5027,8241,95.23,47.36,India,27.58
Commercial horticulturist,Manufacturing,Decreasing,High,147822.58,Associate Degree,20,3967,4554,37.95,50.25,Germany,74.76
"Surveyor, commercial/residential",Finance,Increasing,Moderate,94752.36,High School,10,3171,8831,45.81,84.17,Germany,65.42
"Surveyor, insurance",Entertainment,Increasing,Moderate,67445.13,Master’s Degree,20,8073,5183,61.27,55.25,Brazil,29.69
"Doctor, hospital",Manufacturing,Decreasing,High,43011.86,PhD,5,3132,3588,45.15,81.46,China,46.37
Horticultural consultant,Transportation,Increasing,High,54035.13,PhD,8,5428,2706,91.89,38.95,Australia,55.35
Senior tax professional/tax inspector,Finance,Increasing,High,30578.62,PhD,10,6328,7735,94.96,61.54,Canada,27.74
Risk manager,Healthcare,Decreasing,Moderate,68953.45,Master’s Degree,20,5046,5509,47.42,27.48,UK,41.66
"Surveyor, rural practice",Entertainment,Decreasing,Moderate,138169.71,PhD,5,2955,4760,6.56,63.82,India,38.32
Furniture designer,Healthcare,Decreasing,Moderate,121650.12,Associate Degree,13,1543,3803,89.05,7.92,China,23.43
"Engineer, building services",Entertainment,Decreasing,High,80582.83,Master’s Degree,7,2029,1421,48.49,20.79,UK,35.88
Conference centre manager,Education,Decreasing,Moderate,119656.64,Master’s Degree,12,4918,8124,65.95,38.28,China,35.62
"Research officer, government",Entertainment,Increasing,High,53091.2,High School,20,4418,8920,60.02,89.37,UK,64.48
Civil Service administrator,Healthcare,Decreasing,High,82078.7,PhD,19,9353,3203,31.43,60.78,UK,37.34
Tax inspector,IT,Increasing,High,59467.88,PhD,6,591,4461,51.71,15.39,UK,60.99
"Nurse, adult",IT,Decreasing,Low,107414.83,High School,15,982,2510,4.36,24.59,Brazil,40.25
"Sound technician, broadcasting/film/video",Manufacturing,Decreasing,High,113301.1,High School,10,7261,7620,83.05,88.51,China,35.77
Stage manager,Transportation,Increasing,Low,58849.9,Bachelor’s Degree,9,3069,9550,40.58,14.32,Australia,33.72
"Engineer, automotive",IT,Increasing,Moderate,122960.27,Master’s Degree,19,5788,568,70.14,85.82,UK,35.17
Furniture designer,Finance,Decreasing,Moderate,136304.42,Master’s Degree,13,7826,7426,98.9,78.36,UK,62.45
Diagnostic radiographer,Entertainment,Decreasing,Low,57011.46,High School,20,8311,2787,57.22,7.28,UK,28.25
Public librarian,Transportation,Increasing,Low,51928.42,Master’s Degree,1,3774,8682,54.05,47.46,China,39.28
Music tutor,Entertainment,Increasing,High,93607.75,High School,18,7395,1492,61.57,23.86,Brazil,26.81
Television camera operator,Retail,Decreasing,High,76830.04,PhD,6,5621,2219,65.78,15.27,Canada,62.04
Agricultural engineer,Transportation,Increasing,High,146263.41,PhD,19,7628,5614,94.94,92.03,Canada,58.3
Chief Financial Officer,Entertainment,Decreasing,Moderate,40850.72,Master’s Degree,6,4178,2216,22.09,8.51,Australia,26.33
Magazine journalist,Manufacturing,Increasing,Low,135215.44,Bachelor’s Degree,12,8482,183,1.17,72.17,Brazil,42.15
"Teacher, music",Healthcare,Increasing,High,99433.22,Associate Degree,16,895,5826,72.91,66.09,Canada,47.53
Physiotherapist,Education,Decreasing,Low,52313.88,Associate Degree,13,6968,1072,84.94,68.11,Australia,30.99
Catering manager,Retail,Increasing,Moderate,40544.27,Associate Degree,9,9490,5327,14.05,79.98,USA,37.79
Prison officer,Transportation,Decreasing,Moderate,114932.32,PhD,0,1861,4475,69.57,90.49,Canada,46.29
Industrial/product designer,Healthcare,Decreasing,High,122252.83,PhD,2,5533,3883,21.78,60.52,India,36.45
"Education officer, environmental",Finance,Decreasing,Low,47690.02,Bachelor’s Degree,9,207,5436,21.09,71.82,Australia,29.12
Theme park manager,Retail,Increasing,Low,106021.53,PhD,16,452,310,87.33,45.33,Brazil,52.85
Occupational hygienist,Retail,Decreasing,Moderate,73913.45,Associate Degree,9,4732,7520,42.68,32.95,India,50.32
Retail manager,IT,Decreasing,Moderate,128168.54,Bachelor’s Degree,3,849,7061,58.8,65.69,USA,60.35
Petroleum engineer,Retail,Increasing,Low,58731.02,Bachelor’s Degree,16,3515,628,34.29,36.95,Canada,51.08
Physiological scientist,Education,Increasing,Moderate,146520.79,Master’s Degree,18,3972,8962,94.64,23.2,Brazil,23.73
Textile designer,Retail,Increasing,High,92059.28,Bachelor’s Degree,15,2758,3429,54.14,72.91,UK,56.85
Barrister,Manufacturing,Decreasing,High,73607.63,Master’s Degree,14,5504,5242,48.86,32.31,Germany,56.83
Contracting civil engineer,Healthcare,Decreasing,Low,106829.5,Bachelor’s Degree,0,9101,6805,16.64,69.7,India,44.42
"Accountant, chartered management",Education,Decreasing,High,111748.25,Master’s Degree,15,5626,920,97.02,66.83,Canada,74.63
"Programmer, systems",Entertainment,Increasing,High,84644.06,PhD,3,708,8902,95.79,1.58,China,62.92
"Engineer, production",Education,Increasing,High,129241.94,Associate Degree,5,6244,2408,35.92,60.75,UK,31.22
Barrister,Education,Increasing,High,77162.06,Associate Degree,15,147,9306,85.01,29.19,Brazil,32.7
Firefighter,Retail,Increasing,High,86970.04,Master’s Degree,8,7125,2554,37.81,99.2,Canada,45.67
Hydrologist,Healthcare,Decreasing,Low,122448.75,Master’s Degree,20,677,1410,51.92,86.6,USA,65.21
Web designer,IT,Decreasing,Low,52401.42,High School,10,7925,6136,80.41,7.61,Canada,64.69
Health and safety inspector,IT,Increasing,High,89687.22,High School,14,117,648,74.59,17.07,Brazil,66.63
Further education lecturer,Retail,Increasing,Low,139582.98,Master’s Degree,10,9028,3362,47.58,34.16,Australia,49.22
Information officer,Retail,Increasing,Moderate,74540.96,PhD,6,5734,5539,63.93,9.46,China,31.41
"Psychologist, educational",Finance,Increasing,Moderate,117700.43,High School,17,3524,6880,98.81,28.33,India,60.24
Art therapist,Retail,Decreasing,Moderate,52454.6,PhD,9,8271,4804,11.66,37.66,Australia,65.91
Publishing copy,Education,Increasing,High,88487.6,Master’s Degree,16,9872,1142,57.27,22.34,China,41.79
Clinical cytogeneticist,Education,Increasing,Moderate,108680.29,Associate Degree,15,6097,1335,17.22,56.84,Germany,38.51
Architect,Entertainment,Increasing,Low,37676.58,Bachelor’s Degree,6,4773,2216,51.66,84.14,UK,42.5
Facilities manager,Retail,Increasing,Moderate,137845.91,Bachelor’s Degree,7,5456,1917,87.6,86.68,Canada,34.69
